player_name,team,date_of_birth,age,marital_status,number_of_kids,nationality,country_of_birth,position,preferred_foot,height_cm,weight_kg,jersey_number,injury_status,agent,matches_played,minutes_played,goals,assists,tackles,interceptions,saves,clean_sheets,yellow_cards,red_cards,passing_accuracy,shot_accuracy,previous_club,years_at_club,contract_end_year,average_salary_zar,market_value_zar,signing_bonus_zar,release_clause_zar
Thembi Tshabalala,Cape Town City,2003-01-22,22,Married,4,Ghanaian,Ghanaian,Defender,Both,195,84,48,Healthy,ProSport,324,19764,7,8,72,2,0,0,6,2,71.5,76.7,Baroka FC,1,2026,220572.41,4930884.9,1785677.41,22492731.79
Sipho Ndlovu,Stellenbosch FC,1993-07-23,32,Widowed,0,Ghanaian,Ghanaian,Goalkeeper,Right,173,82,64,Recovering,ProSport,307,20876,9,3,14,73,143,49,2,2,88.2,74.8,Bidvest Wits,1,2026,284675.44,16028790.69,1570077.07,6198834.25
Gugu Tshabalala,TS Galaxy,1993-04-05,32,Divorced,1,Ghanaian,Ghanaian,Forward,Both,183,94,47,Recovering,None,9,648,57,78,4,2,0,0,13,1,78.2,81.7,None,1,2026,139866.54,5016950.59,1208050.42,34187580.36
Gugu Mashaba,Kaizer Chiefs,1997-02-06,28,Married,3,Ghanaian,Ghanaian,Forward,Both,182,60,99,Recovering,None,154,10934,35,48,2,11,0,0,1,3,80.6,63,Bidvest Wits,1,2026,269674.61,14123243.48,1743318.71,6428151.49
Sipho Mabaso,Golden Arrows,1991-11-12,34,Widowed,1,Ghanaian,Ghanaian,Goalkeeper,Left,176,84,26,Healthy,PlayerFirst,122,6832,6,5,2,6,146,31,6,2,84,79,Free State Stars,1,2026,98510.06,21680257.39,401521.06,6191234.65
Sipho Mabaso,SuperSport United,1990-06-15,35,Divorced,3,Ghanaian,Ghanaian,Midfielder,Left,195,63,73,Recovering,PlayerFirst,335,21775,4,75,62,80,0,0,12,2,73,84.1,Bidvest Wits,1,2026,222650.2,17739370.88,731949.44,22609999.28
Boitumelo Radebe,Sekhukhune United,2002-09-24,23,Single,0,Ghanaian,Ghanaian,Goalkeeper,Right,171,92,85,Injured,None,110,7260,1,5,10,14,77,32,4,2,93.3,69.6,Jomo Cosmos,1,2026,161352.73,24540830.44,1878726.96,31270772.8
Vusi Phiri,Golden Arrows,2000-07-14,25,Widowed,0,Ghanaian,Ghanaian,Defender,Both,186,70,19,Recovering,None,314,23864,3,15,21,50,0,0,12,3,78.3,65.2,Black Leopards,1,2026,198295.5,20268890.15,858208.51,32746728.39
Nokuthula Baloyi,Cape Town City,1991-03-15,34,Single,0,Ghanaian,Ghanaian,Goalkeeper,Both,185,84,6,Injured,SoccerLink Africa,164,11152,7,8,26,12,62,4,15,0,80.6,62.8,Bidvest Wits,2,2027,76516.81,9906925.35,841819.45,20088443.67
Thembi Zulu,Cape Town City,1990-05-29,35,Divorced,1,Ghanaian,Ghanaian,Defender,Right,188,65,62,Injured,PlayerFirst,65,4030,4,15,82,52,0,0,8,0,86.1,77.7,Bidvest Wits,2,2027,31089.7,11551600.4,1346456.81,1018167.81
Lebogang Molefe,Royal AM,1998-02-05,27,Widowed,0,Ghanaian,Ghanaian,Midfielder,Both,176,71,71,Healthy,SA Elite Agents,61,3721,23,53,16,86,0,0,17,1,82,63.8,Jomo Cosmos,2,2027,261150.4,15220461.61,341205.28,2009224.2
Lebogang Phiri,Cape Town City,2006-04-01,19,Divorced,1,Ghanaian,Ghanaian,Midfielder,Right,168,61,76,Injured,None,292,17520,90,46,87,62,0,0,1,3,92.2,67.5,Free State Stars,2,2027,65425.7,14393677.11,657626.39,13532684.35
Thembi Tshabalala,Moroka Swallows,1995-06-27,30,Single,0,Ghanaian,Ghanaian,Midfielder,Right,178,62,26,Recovering,SoccerLink Africa,358,29356,55,36,89,26,0,0,17,1,88,80.7,Black Leopards,2,2027,220537.99,9091048.14,1486383.84,5843615.4
Vusi Mthembu,Richards Bay FC,2000-08-12,25,Widowed,0,Ghanaian,Ghanaian,Midfielder,Left,175,60,76,Healthy,None,205,17220,82,35,117,112,0,0,19,2,83.5,63.4,Baroka FC,2,2027,284832.2,6996085.83,1048880.19,43820095.65
Kabelo Mahlangu,Royal AM,2005-06-19,20,Divorced,2,Ghanaian,Ghanaian,Defender,Left,187,75,89,Recovering,ProSport,196,15288,6,7,18,36,0,0,18,2,89.4,68.7,Free State Stars,2,2027,235156.3,20472204.18,965732.15,45357918.48
Boitumelo Radebe,Chippa United,2006-10-06,19,Married,3,Ghanaian,Ghanaian,Defender,Right,190,72,58,Injured,ProSport,238,16898,0,9,60,92,0,0,4,2,85.3,68.7,Free State Stars,2,2027,265836.11,16417579.41,1490616.28,39116638.7
Lindiwe Molefe,Chippa United,1991-08-31,34,Widowed,1,Ghanaian,Ghanaian,Midfielder,Both,184,75,55,Healthy,SoccerLink Africa,166,11122,114,0,97,82,0,0,13,1,75.9,84.9,Jomo Cosmos,2,2027,205719.77,12948606.1,1846585.06,34125183.76
Nokuthula Mahlangu,Kaizer Chiefs,1998-09-03,27,Single,0,Ghanaian,Ghanaian,Goalkeeper,Both,188,73,55,Healthy,SoccerLink Africa,249,15687,7,3,0,45,15,1,10,1,92,46.7,Free State Stars,2,2027,47697.42,11822879.06,583572.91,39920910.2
Lebogang Mabena,Mamelodi Sundowns,1993-01-06,32,Divorced,0,Ghanaian,Ghanaian,Midfielder,Right,180,90,13,Recovering,SoccerLink Africa,377,24505,18,6,81,113,0,0,9,2,84.9,57.1,Tuks FC,2,2027,215318.95,24887821.58,1463264.18,14842277.34
